Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
QQQ,2024-01-01,39781.68137,51635.33985,29.8,20.6,True,34.34,119.83
QQQ,2024-02-01,53558.68818000001,46649.19171,-12.9,13.2,False,34.34,119.83
QQQ,2024-03-01,48156.170900000005,47859.8274,-0.62,11.0,False,34.34,119.83
QQQ,2024-04-01,47960.7975,46030.060300000005,-4.03,8.8,False,34.34,119.83
QQQ,2024-05-01,45697.01555,55818.30274,22.15,4.2,True,34.34,119.83
QQQ,2024-06-01,58369.282889999995,64320.51136,10.2,4.6,True,34.34,119.83
QQQ,2024-07-01,67678.32372000001,60185.76011999999,-11.07,3.9,False,34.34,119.83
QQQ,2024-08-01,59522.785919999995,61511.641599999995,3.34,3.6,False,34.34,119.83
QQQ,2024-09-01,59831.77380000001,60447.007739999994,1.03,3.4,False,34.34,119.83
QQQ,2024-10-01,59729.598159999994,55790.70714,-6.59,3.3,False,34.34,119.83
QQQ,2024-11-01,57116.60612,56339.444460000006,-1.36,3.2,False,34.34,119.83
QQQ,2024-12-01,56413.439040000005,61039.06217999999,8.2,3.1,True,34.34,119.83
SPOT,2024-01-01,37631.9936,53792.2765,42.94,20.6,True,125.3,119.83
SPOT,2024-02-01,56072.15264000001,54960.45786,-1.98,13.2,False,125.3,119.83
SPOT,2024-03-01,57494.8625,57303.246,-0.33,11.0,False,125.3,119.83
SPOT,2024-04-01,57852.61020000001,61245.2916,5.86,8.8,False,125.3,119.83
SPOT,2024-05-01,62140.69060000001,74041.86152,19.15,4.2,True,125.3,119.83
SPOT,2024-06-01,81382.50828,84728.32064,4.11,4.6,False,125.3,119.83
SPOT,2024-07-01,88644.73568,88381.57392,-0.3,3.9,False,125.3,119.83
SPOT,2024-08-01,87640.75200000001,89067.19456,1.63,3.6,False,125.3,119.83
SPOT,2024-09-01,85626.58800000002,91671.10044,7.06,3.4,True,125.3,119.83
SPOT,2024-10-01,93575.2072,89184.53880000001,-4.69,3.3,False,125.3,119.83
SPOT,2024-11-01,90491.306,105879.39648,17.01,3.2,True,125.3,119.83
SPOT,2024-12-01,105603.68868,107248.62094,1.56,3.1,False,125.3,119.83
SPY,2024-01-01,46231.74129,59191.48735,28.03,20.6,True,31.35,119.83
SPY,2024-02-01,61478.085880000006,53443.95991,-13.07,13.2,False,31.35,119.83
SPY,2024-03-01,54862.63325,55910.2929,1.91,11.0,False,31.35,119.83
SPY,2024-04-01,55813.66560000001,53965.26095,-3.31,8.8,False,31.35,119.83
SPY,2024-05-01,53790.54895,64767.293820000006,20.41,4.2,True,31.35,119.83
SPY,2024-06-01,67420.43361,72570.85023999999,7.64,4.6,True,31.35,119.83
SPY,2024-07-01,76068.56038000001,69899.15052,-8.11,3.9,False,31.35,119.83
SPY,2024-08-01,69843.03792,72311.24674999999,3.53,3.6,False,31.35,119.83
SPY,2024-09-01,71045.83410000001,70699.15656,-0.49,3.4,False,31.35,119.83
SPY,2024-10-01,70212.5639,65234.86578000001,-7.09,3.3,False,31.35,119.83
SPY,2024-11-01,66574.0655,66258.97824,-0.47,3.2,False,31.35,119.83
SPY,2024-12-01,65748.61426,69403.35789000001,5.56,3.1,True,31.35,119.83
TSLA,2024-01-01,16505.190413333334,15594.3897,-5.52,20.6,False,76.94,119.83
TSLA,2024-02-01,16121.341413333335,14424.056826666669,-10.53,13.2,False,76.94,119.83
TSLA,2024-03-01,14724.497866666668,12723.6802,-13.59,11.0,False,76.94,119.83
